3400,㐀,gjgg,hghg,hghg,21211,21121
3401,㐁,gkwi,glwi,gmwg,125341,125341
3402,㐂,aaab,aaab,aaab,151515,151515
3403,㐃,lhk,lhk,lhk,542,542
3404,㐄,ahk,ggnh,ahk,152,152
3405,㐅,qty,rty,rty,34,34
3406,㐆,rvnv,rvnv,rvnv,335115,335115
3407,㐇,vnb,vnb,vnb,355,355
3408,㐈,tynb,tynb,tynb,345,345
3409,㐉,snb,snb,snb,125,155
340A,㐊,fnb,fnb,fnb,1215,1215
340B,㐋,fnb,fnb,fnb,1215,1215
340C,㐌,tbb,tbb,tbb,31525,31525
340D,㐍,enb,enb,enb,34435,34435
340E,㐎,ynb,ynb,ynb,41345,41345
340F,㐏,gnb,gnb,gnb,12515,12515
3410,㐐,vcnb,vcnb,vcnb,531545,531545
3411,㐑,tunb,tunb,tunb,354445,354445
3412,㐒,vknb,vknb,vknb,532515,532515
3413,㐓,sknb,sknb,sknb,125125,125155
3414,㐔,ynb,ynb,yknb,412515,412515
3415,㐕,mnb,mnb,mnb,251215,251215
3416,㐖,fknn,fknn,fknn,1212515,1212515
3417,㐗,ftxn,ftxn,ftxn,1213355,1213155
3418,㐘,onb,onb,onb,4312345,4312345
3419,㐙,gkun,gkun,gkun,12514315,12514315
341A,㐚,gknb,gknb,gknb,12512515,12512515
341B,㐛,wdkn,wdkn,wdkn,32132515,32132515
341C,㐜,fiyv,giyv,giyv,124134435,154434435
341D,㐝,rqkn,rqkn,rqkn,121352515,151352515
341E,㐞,adwn,dwnb,adwn,122111345,122111345
341F,㐟,djdn,hdhn,hdhn,211121115,311121115
3420,㐠,ebnn,ebnn,ebnn,344352155,34435515
3421,㐡,vdmd,vdmd,vdmd,35132522134,35132522134
3422,㐢,iebn,iebn,iebn,44134435215,44434435515
3423,㐣,ylnv,olnv,olnv,41312511125,41312511125
3424,㐤,vfhw,vfhw,vfhw,351225111134,351225111134
3425,㐥,qegn,qegn,qegn,3411243125111535,3411243125111535
3426,㐦,wfgn,egnn,egnn,321115251113431125,1253321151113431155
3427,㐧,ynht,ynht,ynht,4523,5543
3428,㐨,cbcb,cnhh,cnhh,54525452,54555455
3429,㐩,fjfj,fjfj,fjfj,22322232,11321132
342A,㐪,gbwi,gbwi,gbwi,415234,15234
342B,㐫,ybk,yrbj,yrbj,413452,413452
342C,㐬,ycqb,yckb,yckb,4154325,4154325
342D,㐭,ylkf,ylkf,ylkf,41252511,41252511
342E,㐮,ufje,uaeu,ywae,4134112213534,4134112213534
342F,㐯,yktj,yktj,ykkj,41251251312342511,41251251312342511
3430,㐰,wkg,wkg,wkg,32251,32251
3431,㐱,wer,wer,wer,34333,34333
3432,㐲,wdy,wdy,wdy,32134,32134
3433,㐳,wgqn,wgqn,wgqn,32135,32135
3434,㐴,wqy,wqy,wqy,32354,32354
3435,㐵,wgfh,wgfh,wgfh,32112,32115
3436,㐶,wnn,wnn,wnn,32515,32515
3437,㐷,wcg,wcgg,wcgg,32551,32551
3438,㐸,wqwy,wqwy,wqwy,323534,323534
3439,㐹,wrnn,wrn,wrnn,323115,323115
343A,㐺,wwwy,wwwy,wwwy,323234,323234
343B,㐻,wmwy,wmwy,wmwy,322534,322534
343C,㐼,wtah,wtah,wtah,323132,323312
343D,㐽,wmqy,wwry,wwry,323534,323534
343E,㐾,wfqn,wfqn,wfqn,321135,321135
343F,㐿,wrh,wrh,wrh,323112,323115
3440,㑀,wdyy,wdyy,wdyy,321344,321344
3441,㑁,wbmh,wbmh,wbmh,3252252,3225252
3442,㑂,wgmw,wgmw,wgmw,3212534,3212534
3443,㑃,wxln,wxet,wxet,3255453,3255453
3444,㑄,wxgu,wxy,wxy,3255414,3255441
3445,㑅,wthg,wthg,wthg,3231211,3231211
3446,㑆,wkqn,wkqn,wkqn,3225135,3225135
3447,㑇,wqvg,wqvg,wqvg,3235511,3235511
3448,㑈,waiy,waiy,waiy,3215234,3215534
3449,㑉,wmgq,wwgq,wwgq,32351354,32351354
344A,㑊,wyoy,wyoy,wyoy,32413234,32413534
344B,㑋,wmag,wmag,wmag,32251221,32251221
344C,㑌,wagg,wagg,wagg,32111215,32111215
344D,㑍,wdiy,wgfy,wdiy,32111234,32311234
344E,㑎,wvmh,wvmh,wvmh,32555252,32555252
344F,㑏,wpfy,wpfy,wpfy,32445124,32445154
3450,㑐,whiy,whiy,whgi,32211234,32211534
3451,㑑,wthg,wthg,wthg,32325111,32325111
3452,㑒,wgkw,wgkw,wgkw,34125134,34125134
3453,㑓,wcdc,wcdc,wcdc,32541354,32541354
3454,㑔,wdmy,wdmy,wdmy,32132534,32132534
3455,㑕,wmqy,wmqy,wmqy,32252354,32252354
3456,㑖,wwkh,wwkh,wwkh,32322512,32322512
3457,㑗,wtmt,wtmt,wtmt,323251113,323251113
3458,㑘,waah,waah,waah,321132534,321132543
3459,㑙,wbnn,wbnn,wbnn,321221115,321221115
345A,㑚,wvfb,wngb,wngb,32511352,325113552
345B,㑛,wgki,wskg,wgki,321251234,321251234
345C,㑜,wrrh,wrrh,wrrh,321213312,321513312
345D,㑝,wgah,wgah,wgah,321121132,321121132
345E,㑞,woah,woah,woah,324334132,324334132
345F,㑟,wrgw,wrwy,wrgw,323212134,323212134
3460,㑠,wjcf,wjcf,wjcf,322254121,322254121
3461,㑡,wvcb,wvbh,wvcb,325115452,325115452
3462,㑢,wfcb,wfcb,wfcb,321215452,321215452
3463,㑣,wssy,wssy,wssy,3212341234,3212341234
3464,㑤,walg,walg,walg,3212225121,32211225121
3465,㑥,wjqr,wjqr,wjqr,3225113533,3225113533
3466,㑦,wynd,wynd,wyny,324511344,3233511344
3467,㑧,wtbg,wtbg,wtbg,3231234521,3231234551
3468,㑨,wktd,wktd,wktd,3225131134,3225131134
3469,㑩,wlqy,wlqy,wlqy,3225221354,3225221354
346A,㑪,wyjg,wyjg,wyjg,3241343211,3241343211
346B,㑫,wwyn,wwyn,wwyn,3234454544,3234154544
346C,㑬,wvdg,wvdg,wvdg,3253112251,3253112251
346D,㑭,wlgj,wlgj,wlgj,3225121132,3225121132
346E,㑮,wplh,wplh,wplh,32451251112,32451251112
346F,㑯,wdmy,wdmy,wdmy,32132511134,32132511134
3470,㑰,wxey,wxey,wxge,32551353334,32551353334
3471,㑱,wcbs,wcns,wcns,32545231234,32545531234
3472,㑲,wfmf,wfmf,wfmf,32122543112,32122543112
3473,㑳,wqbt,wqbt,wqbt,323552335523,323552335523
