2B740,𫝀,nhk,nhng,nnhg,
2B741,𫝁,gkjk,gkjk,gkjk,
2B742,𫝂,gith,gith,gith,
2B743,𫝃,gumw,gumw,gumw,
2B744,𫝄,twi,twi,twi,
2B745,𫝅,ycwu,ycwu,ycwu,
2B746,𫝆,wftr,wgdr,wgdr,
2B747,𫝇,wgkh,wgky,wgkh,
2B748,𫝈,wplh,wplh,wplh,
2B749,𫝉,wgvk,wgvk,wgvk,
2B74A,𫝊,wgmf,wgmf,wgmf,
2B74B,𫝋,wjcu,wjcu,wjcu,
2B74C,𫝌,jsgw,jsgw,jsgw,
2B74D,𫝍,muhd,muhd,muhd,
2B74E,𫝎,uhqn,uhqn,uhqn,
2B74F,𫝏,uyde,uute,uyde,
2B750,𫝐,ujjj,ujjj,ujjj,
2B751,𫝑,fufl,fufe,fufe,
2B752,𫝒,hjfj,hjff,hjfj,
2B753,𫝓,fliy,feiy,feiy,
2B754,𫝔,fjfq,fjfq,fjfq,
2B755,𫝕,dnei,dnei,dnui,
2B756,𫝖,qdno,qdno,qdno,
2B757,𫝗,drbd,drbd,drbd,
2B758,𫝘,kdnn,kdnn,kdnn,
2B759,𫝙,tmkh,tmkh,tmkg,
2B75A,𫝚,klfc,klfc,klfc,
2B75B,𫝛,shmk,shmk,shmk,
2B75C,𫝜,kvsy,kvsy,kvsy,
2B75D,𫝝,jdgt,jdnt,mhgt,
2B75E,𫝞,kfcl,ksce,kfce,
2B75F,𫝟,fyjf,fyjf,fyjf,
2B760,𫝠,fseg,fseg,fseg,
2B761,𫝡,bdef,bdef,bdef,
2B762,𫝢,qfyy,qyhy,qfyy,
2B763,𫝣,qfhy,qfhy,qgyy,
2B764,𫝤,ufwd,uggd,ufwd,
2B765,𫝥,ugde,ugdv,ugde,
2B766,𫝦,vmy,vmy,vmy,
2B767,𫝧,vmnn,vmnn,vmnn,
2B768,𫝨,vplh,vplh,vplh,
2B769,𫝩,vdtf,vdtf,vdtf,
2B76A,𫝪,vamy,vamy,vamy,
2B76B,𫝫,vgoy,vgus,vgoy,
2B76C,𫝬,vkhm,vkhm,vkhm,
2B76D,𫝭,vmmv,vmmv,vmmv,
2B76E,𫝮,vugi,vusl,vugi,
2B76F,𫝯,wfgb,egnb,egnb,
2B770,𫝰,pqjn,pqjn,pqjn,
2B771,𫝱,pnts,pnts,pnts,
2B772,𫝲,nvyi,nvyi,nvyi,
2B773,𫝳,mxn,mxn,mxn,
2B774,𫝴,mrgk,mrgk,mrgk,
2B775,𫝵,mdtf,mdtf,mdtf,
2B776,𫝶,ykwf,okwf,okwf,
2B777,𫝷,ykcf,okcf,okcf,
2B778,𫝸,uttw,uttw,uttw,
2B779,𫝹,wfnu,wfnu,wfnu,
2B77A,𫝺,renn,renn,renn,
2B77B,𫝻,rlkg,rlkg,rlkg,
2B77C,𫝼,rwfq,rwfq,rwfq,
2B77D,𫝽,rwhe,rwhe,rwhe,
2B77E,𫝾,rfwt,rswt,rfwt,
2B77F,𫝿,rujh,rujs,rujs,
2B780,𫞀,yctd,yctd,yctd,
2B781,𫞁,yugd,yugd,yugd,
2B782,𫞂,jgyy,jgyy,jgyy,
2B783,𫞃,jukg,jukg,jukg,
2B784,𫞄,gwwj,gwwf,gwwj,
2B785,𫞅,evfy,evfy,evfy,
2B786,𫞆,ektd,ektd,ektd,
2B787,𫞇,eimh,eiwg,eiwg,
2B788,𫞈,svyg,svyg,svyg,
2B789,𫞉,sgkj,sgkj,sgkj,
2B78A,𫞊,sryn,sryt,sryt,
2B78B,𫞋,stuh,stuh,stuh,
2B78C,𫞌,swnc,stnc,swnc,
2B78D,𫞍,sseg,sseg,sseg,
2B78E,𫞎,sdek,sdek,sdek,
